epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,12945.2,0.90319,1.22918,0.52266,0.93521,0.8979,0.83084,0.88883,0.64073,0.901,0.83301,0.88854,0.61701,0.99874,1.42394,0.5473,1.02409,0.0007064,0.0007064,0.0007064
100,13075.9,0.90452,1.23165,0.52091,0.93681,0.89778,0.82846,0.8874,0.63881,0.90041,0.83236,0.88755,0.61702,1.00222,1.42993,0.55023,1.02522,0.0006932,0.0006932,0.0006932
101,13208.3,0.89705,1.2269,0.52117,0.93346,0.89563,0.8274,0.88689,0.63445,0.89853,0.83008,0.88694,0.61102,1.01286,1.44846,0.5565,1.03107,0.00068,0.00068,0.00068
102,13338.6,0.89919,1.22496,0.52046,0.93382,0.89799,0.82874,0.88967,0.63776,0.89937,0.83206,0.88842,0.61467,1.0093,1.43989,0.54953,1.02909,0.0006668,0.0006668,0.0006668
103,13469.2,0.90139,1.22888,0.52126,0.93562,0.89589,0.83138,0.88889,0.63457,0.89994,0.83315,0.88849,0.61124,1.01698,1.44271,0.55081,1.0307,0.0006536,0.0006536,0.0006536
104,13599.9,0.90339,1.23527,0.52338,0.93503,0.89589,0.83218,0.89037,0.64042,0.89897,0.83504,0.88942,0.6149,1.0007,1.43118,0.5476,1.02338,0.0006404,0.0006404,0.0006404
105,13730.6,0.90439,1.23719,0.524,0.93546,0.89533,0.82839,0.88757,0.63442,0.89894,0.83173,0.88712,0.61168,1.0121,1.44311,0.55387,1.02956,0.0006272,0.0006272,0.0006272
106,13860.5,0.89897,1.22079,0.51892,0.93229,0.89227,0.83283,0.88881,0.63683,0.89491,0.8356,0.88798,0.61297,1.00639,1.44042,0.55188,1.02718,0.000614,0.000614,0.000614
107,13990.3,0.89248,1.21295,0.51664,0.93269,0.8956,0.83229,0.88925,0.63866,0.89819,0.8347,0.88817,0.6146,1.00043,1.44023,0.54916,1.02624,0.0006008,0.0006008,0.0006008
108,14120.3,0.89757,1.22304,0.51673,0.93368,0.89344,0.83517,0.88941,0.63923,0.89621,0.83776,0.8882,0.61513,1.00285,1.43854,0.5469,1.0271,0.0005876,0.0005876,0.0005876
109,14249.8,0.89289,1.21482,0.5159,0.93257,0.89582,0.83134,0.88969,0.63921,0.89895,0.83504,0.88921,0.61615,1.00509,1.43175,0.5476,1.02644,0.0005744,0.0005744,0.0005744
110,14380.9,0.89284,1.22054,0.51745,0.93124,0.89265,0.83324,0.88888,0.63651,0.8961,0.83709,0.88844,0.61192,1.01088,1.44384,0.55018,1.02804,0.0005612,0.0005612,0.0005612
111,14512.5,0.893,1.21914,0.5163,0.93037,0.89538,0.83327,0.8904,0.63896,0.89726,0.83686,0.8893,0.61382,1.00417,1.43816,0.54633,1.02653,0.000548,0.000548,0.000548
112,14642.4,0.89312,1.2224,0.51636,0.93109,0.89515,0.83083,0.88889,0.63982,0.89878,0.8342,0.88832,0.61569,0.99923,1.42749,0.55001,1.02493,0.0005348,0.0005348,0.0005348
113,14773.8,0.89021,1.2085,0.51378,0.93104,0.89408,0.83308,0.88958,0.63928,0.89641,0.83739,0.88906,0.61428,1.00461,1.43733,0.54729,1.02656,0.0005216,0.0005216,0.0005216
114,14904.9,0.8921,1.21646,0.51414,0.93079,0.89347,0.834,0.88852,0.63684,0.89716,0.83676,0.8884,0.61508,1.00975,1.43429,0.54712,1.0288,0.0005084,0.0005084,0.0005084
115,15035.2,0.89169,1.21694,0.51371,0.93087,0.89334,0.83529,0.88984,0.63691,0.89628,0.83804,0.88934,0.61192,1.01068,1.44199,0.54677,1.0291,0.0004952,0.0004952,0.0004952
116,15165.2,0.88972,1.20918,0.5118,0.93011,0.89558,0.83105,0.88922,0.63153,0.89682,0.83646,0.88938,0.60793,1.02918,1.45486,0.55156,1.03617,0.000482,0.000482,0.000482
117,15295.9,0.89387,1.22037,0.51484,0.93073,0.89457,0.83267,0.88954,0.63568,0.89569,0.83763,0.88936,0.6113,1.01278,1.44739,0.54902,1.03089,0.0004688,0.0004688,0.0004688
118,15426.8,0.88498,1.20159,0.50932,0.92969,0.89605,0.83223,0.88903,0.63821,0.89915,0.83511,0.8893,0.61335,1.00651,1.44501,0.54479,1.02811,0.0004556,0.0004556,0.0004556
119,15559,0.89071,1.2105,0.51347,0.9298,0.89491,0.8333,0.88957,0.6378,0.89849,0.83601,0.88877,0.6137,1.0061,1.44029,0.54863,1.02733,0.0004424,0.0004424,0.0004424
120,15690.7,0.88955,1.20818,0.51207,0.9302,0.89641,0.83337,0.88985,0.63946,0.8982,0.83661,0.8891,0.61509,1.00289,1.42989,0.54282,1.02395,0.0004292,0.0004292,0.0004292
121,15822,0.88491,1.20183,0.5102,0.92871,0.89393,0.83384,0.88889,0.63744,0.89712,0.83634,0.88866,0.61369,1.00684,1.43349,0.54693,1.02758,0.000416,0.000416,0.000416
122,15952.3,0.88754,1.20195,0.50926,0.93033,0.89285,0.83529,0.88929,0.63753,0.89552,0.83779,0.88879,0.61344,1.00701,1.441,0.54669,1.02768,0.0004028,0.0004028,0.0004028
123,16083.5,0.88489,1.20182,0.50743,0.9302,0.89532,0.83312,0.88888,0.63772,0.89782,0.83716,0.88895,0.61349,1.00722,1.43365,0.546,1.02675,0.0003896,0.0003896,0.0003896
124,16213.5,0.8828,1.1959,0.50751,0.92894,0.89381,0.83122,0.88852,0.63598,0.89696,0.83351,0.88811,0.61167,1.01132,1.44492,0.55005,1.02922,0.0003764,0.0003764,0.0003764
